,Region,SBS_healthy,SBS_healthy_right_colon,SBS_healthy_left_colon,SBS_POLE,SBS_MSI,IDS_healthy,IDS_MSI,IDS_healthy_Left,IDS_healthy_Right
0,R0,0.848171403264624,0.847583581666272,0.849035209299882,0.782140985448972,0.848270899014561,0.737441135472534,0.406670969848262,0.501805834993763,0.503683328270173
1,R1,0.0547602481023099,0.0550279414450515,0.0543801651479691,0.0889757614889647,0.0633525872394286,0.0645405188112492,0.0358645121916017,0.0443483412559139,0.0445157702211221
2,R2,0.0545682199413618,0.0546460705695023,0.0544367929967878,0.0406375685030492,0.0503400323713195,0.085388014838366,0.0371443846662772,0.0454164668879293,0.0455797170142572
3,R3,0.0425001286917042,0.0427424063191741,0.0421478325553615,0.0882456845590138,0.0380364813746913,0.112630330877851,0.520320133293859,0.408429356862393,0.406221184494448
