,Region,IDS_healthy,IDS_MSI,IDS_healthy_Left,IDS_healthy_Right
0,R0,0.7374411354725257,0.4066709698482496,0.501805834993763,0.5036833282701813
1,R1,0.0645405188112511,0.03586451219160271,0.0443483412559136,0.04451577022112171
2,R2,0.08538801483836851,0.03714438466627818,0.04541646688792926,0.04557971701425649
3,R3,0.11263033087785475,0.5203201332938696,0.40842935686239407,0.40622118449444056
