STUDY_ID	SAMPLE_ID	APC
crc_public_genie_bpc	GENIE-DFCI-007504-7427	-1
crc_public_genie_bpc	GENIE-DFCI-007609-5557	0
crc_public_genie_bpc	GENIE-DFCI-007626-4060	0
crc_public_genie_bpc	GENIE-DFCI-007675-6942	-1
crc_public_genie_bpc	GENIE-DFCI-007695-8524	0
crc_public_genie_bpc	GENIE-DFCI-007701-10005	0
crc_public_genie_bpc	GENIE-DFCI-007715-7094	0
crc_public_genie_bpc	GENIE-DFCI-007719-7610	0
crc_public_genie_bpc	GENIE-DFCI-007787-10095	0
crc_public_genie_bpc	GENIE-DFCI-007886-5447	0
crc_public_genie_bpc	GENIE-DFCI-007910-11299	-1
crc_public_genie_bpc	GENIE-DFCI-007921-6428	0
crc_public_genie_bpc	GENIE-DFCI-008008-6526	0
crc_public_genie_bpc	GENIE-DFCI-008063-6219	0
crc_public_genie_bpc	GENIE-DFCI-008081-6165	0
crc_public_genie_bpc	GENIE-DFCI-008097-6269	0
crc_public_genie_bpc	GENIE-DFCI-008103-7932	0
crc_public_genie_bpc	GENIE-DFCI-008105-7479	0
crc_public_genie_bpc	GENIE-DFCI-008107-5907	0
crc_public_genie_bpc	GENIE-DFCI-008121-5256	0
crc_public_genie_bpc	GENIE-DFCI-008220-5068	0
crc_public_genie_bpc	GENIE-DFCI-008250-8150	0
crc_public_genie_bpc	GENIE-DFCI-008284-6855	0
crc_public_genie_bpc	GENIE-DFCI-008343-5430	0
crc_public_genie_bpc	GENIE-DFCI-008355-8083	0
crc_public_genie_bpc	GENIE-DFCI-008391-5705	0
crc_public_genie_bpc	GENIE-DFCI-008411-9595	0
crc_public_genie_bpc	GENIE-DFCI-008413-7443	-1
crc_public_genie_bpc	GENIE-DFCI-008439-5716	-1
crc_public_genie_bpc	GENIE-DFCI-008450-7434	0
crc_public_genie_bpc	GENIE-DFCI-008508-9210	0
crc_public_genie_bpc	GENIE-DFCI-008516-7383	0
crc_public_genie_bpc	GENIE-DFCI-008517-10877	0
crc_public_genie_bpc	GENIE-DFCI-008549-6435	0
crc_public_genie_bpc	GENIE-DFCI-008572-11075	0
crc_public_genie_bpc	GENIE-DFCI-008590-7220	0
crc_public_genie_bpc	GENIE-DFCI-008622-7765	0
crc_public_genie_bpc	GENIE-DFCI-008624-7126	0
crc_public_genie_bpc	GENIE-DFCI-008737-7155	0
crc_public_genie_bpc	GENIE-DFCI-008759-7792	0
crc_public_genie_bpc	GENIE-DFCI-008760-7042	0
crc_public_genie_bpc	GENIE-DFCI-008778-6933	0
crc_public_genie_bpc	GENIE-DFCI-008814-7234	-1
crc_public_genie_bpc	GENIE-DFCI-008834-7056	0
crc_public_genie_bpc	GENIE-DFCI-008840-6985	0
crc_public_genie_bpc	GENIE-DFCI-008868-9035	0
crc_public_genie_bpc	GENIE-DFCI-008889-6970	0
crc_public_genie_bpc	GENIE-DFCI-008893-7697	0
crc_public_genie_bpc	GENIE-DFCI-008940-7584	0
crc_public_genie_bpc	GENIE-DFCI-009003-9496	0
crc_public_genie_bpc	GENIE-DFCI-009052-5984	0
crc_public_genie_bpc	GENIE-DFCI-009055-8514	0
crc_public_genie_bpc	GENIE-DFCI-009065-6737	0
crc_public_genie_bpc	GENIE-DFCI-009074-7064	0
crc_public_genie_bpc	GENIE-DFCI-009076-6679	0
crc_public_genie_bpc	GENIE-DFCI-009181-6664	0
crc_public_genie_bpc	GENIE-DFCI-009199-6452	0
crc_public_genie_bpc	GENIE-DFCI-009214-6780	0
crc_public_genie_bpc	GENIE-DFCI-009227-6412	0
crc_public_genie_bpc	GENIE-DFCI-009235-8042	0
crc_public_genie_bpc	GENIE-DFCI-009245-6639	0
crc_public_genie_bpc	GENIE-DFCI-009329-7667	1
crc_public_genie_bpc	GENIE-DFCI-009370-7880	0
crc_public_genie_bpc	GENIE-DFCI-009380-7897	0
crc_public_genie_bpc	GENIE-DFCI-009381-11506	0
crc_public_genie_bpc	GENIE-DFCI-009399-9221	0
crc_public_genie_bpc	GENIE-DFCI-009404-7854	-1
crc_public_genie_bpc	GENIE-DFCI-009426-8309	0
crc_public_genie_bpc	GENIE-DFCI-009451-8209	0
crc_public_genie_bpc	GENIE-DFCI-009482-9045	0
crc_public_genie_bpc	GENIE-DFCI-009485-9008	0
crc_public_genie_bpc	GENIE-DFCI-009492-9214	0
crc_public_genie_bpc	GENIE-DFCI-009548-8307	0
crc_public_genie_bpc	GENIE-DFCI-009555-8507	-1
crc_public_genie_bpc	GENIE-DFCI-009581-8598	0
crc_public_genie_bpc	GENIE-DFCI-009583-10421	0
crc_public_genie_bpc	GENIE-DFCI-009585-8512	-1
crc_public_genie_bpc	GENIE-DFCI-009586-8555	0
crc_public_genie_bpc	GENIE-DFCI-009628-8522	0
crc_public_genie_bpc	GENIE-DFCI-009631-9022	0
crc_public_genie_bpc	GENIE-DFCI-009711-7994	0
crc_public_genie_bpc	GENIE-DFCI-009716-9172	0
crc_public_genie_bpc	GENIE-DFCI-009719-6937	0
crc_public_genie_bpc	GENIE-DFCI-009720-6936	0
crc_public_genie_bpc	GENIE-DFCI-009807-9075	-1
crc_public_genie_bpc	GENIE-DFCI-009852-7723	0
crc_public_genie_bpc	GENIE-DFCI-009854-8223	0
crc_public_genie_bpc	GENIE-DFCI-009899-8363	0
crc_public_genie_bpc	GENIE-DFCI-009918-8674	0
crc_public_genie_bpc	GENIE-DFCI-009934-7567	0
crc_public_genie_bpc	GENIE-DFCI-009942-7682	0
crc_public_genie_bpc	GENIE-DFCI-009944-8085	0
crc_public_genie_bpc	GENIE-DFCI-009954-8828	0
crc_public_genie_bpc	GENIE-DFCI-009983-8421	0
crc_public_genie_bpc	GENIE-DFCI-010035-7481	0
crc_public_genie_bpc	GENIE-DFCI-010044-8466	-1
