,Genotype,Counts
0,"0.0, x2",1
1,"1.0, -",2
2,"2.0, -",3
3,"2.0, x2",2
4,"3.0, -",1
5,[0. 0.],3
6,[0. 2.],7
7,[0. 3.],5
8,[2. 2.],1
