,Genotype,Counts
0,"0.0, -",4
1,"0.0, x2",2
2,"1.0, -",4
3,"1.0, x2",8
4,"2.0, -",4
5,"2.0, x2",6
6,"3.0, -",1
7,[0. 0.],4
8,[0. 1.],12
9,[0. 2.],7
10,[0. 3.],1
11,[1. 2.],1
12,[1. 3.],1
