,Genotype,Counts
0,"0.0, -",67
1,"0.0, x2",51
2,"1.0, -",99
3,"1.0, x2",130
4,"2.0, -",146
5,"2.0, x2",33
6,"3.0, -",28
7,"3.0, x2",13
8,[0. 0.],40
9,[0. 1.],123
10,[0. 2.],187
11,[0. 3.],82
12,[1. 1.],9
13,[1. 2.],9
14,[2. 2.],3
15,[2. 3.],6
16,[3. 3.],3
17,[1. 3.],2
