,Genotype,Counts
0,"0.0, -",4
1,"0.0, x2",4
2,"1.0, -",10
3,"1.0, x2",14
4,"2.0, -",8
5,"2.0, x2",12
6,"3.0, -",4
7,[0. 0.],8
8,[0. 1.],13
9,[0. 2.],18
10,[0. 3.],6
11,[1. 2.],1
12,[1. 3.],1
13,[2. 2.],2
14,[2. 3.],1
