,Genotype,Counts
0,"0.0, x2",3
1,"1.0, -",1
2,"1.0, x2",1
3,"2.0, -",6
4,"2.0, x2",8
5,"3.0, -",2
6,"3.0, x2",1
7,[0. 1.],1
8,[0. 2.],9
9,[0. 3.],11
10,[1. 2.],4
11,[2. 2.],2
12,[2. 3.],2
