,Genotype,Counts
0,"0.0, -",1
1,"1.0, -",2
2,"1.0, x2",5
3,"2.0, -",1
4,"2.0, x2",3
5,"3.0, -",3
6,"3.0, x2",2
7,[0. 0.],1
8,[0. 1.],2
9,[0. 2.],8
10,[0. 3.],8
11,[1. 1.],1
12,[1. 2.],1
13,[2. 3.],1
