,Genotype,Counts
0,"0.0, -",2
1,"0.0, x2",1
2,"1.0, -",4
3,"1.0, x2",1
4,"2.0, -",1
5,"2.0, x2",1
6,[0. 0.],2
7,[0. 1.],4
8,[0. 2.],3
9,[0. 3.],1
