,Genotype,Counts
0,"0.0, -",5
1,"0.0, x2",3
2,"1.0, -",6
3,"1.0, x2",5
4,"2.0, -",2
5,"2.0, x2",1
6,"3.0, x2",2
7,[0. 0.],1
8,[0. 1.],6
9,[0. 2.],7
10,[0. 3.],1
11,[1. 2.],1
