WGD,Types,Regions,Copy_number_1,Counts
FALSE,"('stop_gained', 'stop_gained')","(0, 2)","(2.0, 0.0)",1
FALSE,"('stop_gained', 'stop_gained')","(0, 2)","(2.0, 1.0)",1
FALSE,"('stop_gained', 'stop_gained')","(0, 3)","(1.0, 1.0)",7
FALSE,"('stop_gained', 'stop_gained')","(1, 1)","(1.0, 1.0)",2
FALSE,"('stop_gained', 'stop_gained', 'frameshift')","(0, 0, 3)","(1.0, 0.0)",1
FALSE,"('stop_gained', 'stop_gained', 'frameshift')","(0, 0, 3)","(1.0, 1.0)",2
FALSE,"('stop_gained', 'stop_gained', 'frameshift')","(0, 1, 3)","(2.0, 1.0)",1
FALSE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 0, 2)","(1.0, 1.0)",1
FALSE,"('stop_gained', 'stop_gained', 'stop_gained')","(0, 1, 3)","(1.0, 0.0)",1
FALSE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(0, 2, 0, 2)","(1.0, 0.0)",1
FALSE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(2, 2, 2, 2)","(2.0, 0.0)",1
FALSE,"('stop_gained', 'stop_gained', 'stop_gained', 'stop_gained', 'stop_gained')","(1, 1, 1, 1, 1)","(2.0, 0.0)",1
TRUE,"('frameshift',)","(0,)","(1.0, 0.0)",2
TRUE,"('frameshift',)","(0,)","(1.0, 1.0)",1
TRUE,"('frameshift',)","(0,)","(2.0, 0.0)",14
TRUE,"('frameshift',)","(0,)","(2.0, 1.0)",3
TRUE,"('frameshift',)","(0,)","(2.0, 2.0)",2
TRUE,"('frameshift',)","(0,)","(3.0, 0.0)",6
TRUE,"('frameshift',)","(0,)","(4.0, 0.0)",1
TRUE,"('frameshift',)","(0,)","(5.0, 0.0)",1
TRUE,"('frameshift',)","(1,)","(1.0, 0.0)",1
TRUE,"('frameshift',)","(1,)","(2.0, 0.0)",21
TRUE,"('frameshift',)","(1,)","(2.0, 1.0)",3
TRUE,"('frameshift',)","(1,)","(2.0, 2.0)",1
TRUE,"('frameshift',)","(1,)","(3.0, 0.0)",12
TRUE,"('frameshift',)","(1,)","(4.0, 0.0)",7
TRUE,"('frameshift',)","(1,)","(5.0, 0.0)",2
TRUE,"('frameshift',)","(2,)","(1.0, 0.0)",5
TRUE,"('frameshift',)","(2,)","(1.0, 1.0)",3
TRUE,"('frameshift',)","(2,)","(2.0, 0.0)",11
TRUE,"('frameshift',)","(2,)","(2.0, 1.0)",1
TRUE,"('frameshift',)","(2,)","(2.0, 0.0)",14
TRUE,"('frameshift',)","(2,)","(2.0, 0.0)",6
TRUE,"('frameshift',)","(2,)","(5.0, 0.0)",2
TRUE,"('frameshift',)","(3,)","(1.0, 0.0)",1
TRUE,"('frameshift',)","(3,)","(1.0, 1.0)",1
TRUE,"('frameshift',)","(3,)","(2.0, 0.0)",6
TRUE,"('frameshift',)","(3,)","(2.0, 1.0)",2
TRUE,"('frameshift',)","(3,)","(2.0, 2.0)",1
TRUE,"('frameshift',)","(3,)","(3.0, 0.0)",2
TRUE,"('frameshift',)","(3,)","(4.0, 0.0)",2
TRUE,"('frameshift',)","(3,)","(4.0, 1.0)",1
TRUE,"('frameshift',)","(3,)","('n', 'k')",1
TRUE,"('frameshift', 'frameshift')","(0, 0)","(1.0, 1.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 0)","(2.0, 1.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 1)","(1.0, 0.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 1)","(1.0, 1.0)",2
TRUE,"('frameshift', 'frameshift')","(0, 1)","(2.0, 1.0)",5
