,Genotype,Counts
0,"0.0, -",100
1,"0.0, x2",51
2,"1.0, -",88
3,"1.0, x2",130
4,"2.0, -",99
5,"2.0, x2",65
6,"3.0, -",48
7,"3.0, x2",13
8,[0. 0.],40
9,[0. 1.],123
10,[0. 2.],156
11,[0. 3.],82
12,[1. 1.],6
13,[1. 2.],13
14,[2. 2.],3
15,[2. 3.],6
16,[3. 3.],3
17,[1. 3.],2
