,Genotype,20AARs,Probabilities
0,"[0, 0]",0,0.4768684711118041
1,"[1, 1]",2,0.0028660409354104113
2,"[2, 2]",4,0.002081850600933044
3,"[3, 3]",6,0.0442179487256123
4,"[0, 1]",1,0.07393847601926909
5,"[1, 2]",3,0.004885353229269248
6,"[1, 3]",4,0.022514924039621673
7,"[0, 2]",2,0.06301647128013854
8,"[2, 3]",5,0.019189076384906335
9,"[0, 3]",3,0.29042138767303544
10,[0],0,0.0
11,[1],1,0.0
12,[2],2,0.0
13,[3],3,0.0
14,"[0, x2]",0,0.0
15,"[1, x2]",2,0.0
16,"[2, x2]",4,0.0
17,"[3, x2]",6,0.0
