,20AARs,100KGP Progression Probability,CLow,CHigh
0,0,0.01179126699849461,0.009540989865745867,0.014086314143250329
1,1,0.24535369108804964,0.20889198659068162,0.28510564779387043
2,2,0.366306287554732,0.31963250300148704,0.41595167942721295
3,3,0.11629692866789247,0.09514305754160933,0.14110753281154315
4,4,0.09147534688722998,0.06380208115619918,0.12004098694371755
5,5,0.13064739683718088,0.04717731818883023,0.22144495310211526
6,6,0.038129081966420245,0.021411624785371168,0.05703396873818359
