,0
0,2.534703349494424
1,2.5482370075498286
2,2.7811251044775958
3,2.4058797092460953
4,2.414954221971861
5,2.6520213915150155
6,2.4640194275285587
7,2.6312502348300124
8,2.6141261744359032
9,2.541337590102083
10,2.4710473090858307
11,2.631192202066891
12,2.640617225673455
13,2.6452228836520577
14,2.7528857758134833
15,2.415964118182247
16,2.8050570713846974
17,2.6447723486269843
18,2.5674048646627434
19,2.5377875292119407
20,2.7626788167140433
21,2.6741995219595833
22,2.5364546148796014
23,2.289462141301177
24,2.3156672514717167
25,2.609290677545036
26,2.533747373469658
27,2.6040134924220757
28,2.84762076945393
29,2.4022871178672487
30,2.6940732524188147
31,2.3244024934382783
32,2.7311244360412417
33,2.575282562770296
34,2.3636490571653406
35,2.6467759226561824
36,2.7769156402546056
37,2.602291591890208
38,2.762803631600763
39,2.4794277905735855
40,2.711805710153941
41,2.680892764900592
42,2.8134847413839625
43,2.5949777396148055
44,2.5850868465638075
45,2.4957691986018142
46,2.6425890635148996
47,2.5032311805466665
48,2.3422623176082062
49,2.479116569636021
50,2.375436185440492
51,2.5875366404028455
52,2.4705756839300377
53,2.408585848050059
54,2.646090619158918
55,2.433203710543156
56,2.780661389393413
57,2.719055943447367
58,2.55663245447342
59,2.562959628052953
60,2.617223072858155
61,2.5668079055977135
62,2.723286365447926
63,2.4953165635644172
64,2.6734607342752503
65,2.697642893312247
66,2.4784892506678577
67,2.6705819132128776
68,2.6637068192961055
69,2.6072454998996526
70,2.399347004571146
71,2.4050522282679574
72,2.3737090707675357
73,2.3910815387350244
74,2.52634020758103
75,2.590979759377432
76,2.66052093065971
77,2.614859760595227
78,2.6874818058061667
79,2.4995755879308628
80,2.3726616796557876
81,2.4673750409546162
82,2.4962814963577253
83,2.931948441999282
84,2.4433525285283473
85,2.5233345308195583
86,2.3093319479680137
87,2.59133491131902
88,2.6152969756053905
89,2.4218389155330047
90,2.464809367189286
91,2.6745920945030286
92,2.535584483279037
93,2.7567244737010737
94,2.391574382169162
95,2.690029489981045
96,2.611131691757454
97,2.634413544770647
98,2.61485454903626
99,2.6870737383802243
100,2.5801534342066215
101,2.7855638943420105
102,2.5253410377375762
103,2.6154987991107053
104,2.644602986965673
105,2.4865973689612635
106,2.7673222319250703
107,2.687512789634339
108,2.5749284778074046
